ID,W jaki sposób chcesz uczestniczyć w Community?,Programming: R,Programming: Python,Programming: Bash,Version Control: GIT,Containers: Docker,"CLI: (np. Bash, PowerShell, CMD)","Front End: (HTML, JavaScript, CSS)",Databases: SQL,Databases: NoSQL,Cloud: Azure,Cloud: AWS,Cloud: GPC,BI: PowerBI,BI: Tableau,Area: Time Series,"Area: Classical ML (Clustering, Regression, Classification)",Area: NLP,Area: Computer Vision,Project Management,Promocja w Social Media,Ux/Ui,Projektowanie graficzne,Nawiązywanie Relacji z Biznesem,Nawiązywanie Relacji z naukowcami,Pozyskiwanie finansowania,Współpraca z administracją UEW,"Jeżeli jest obszar, na którym się znasz i chcesz go wykorzystać, dopisz go:",FinTech,HealthTech,FashionTech,E-commerce,SportTech,Non-profit,PropTech (nieruchomości),Cybersecurity,HR,"Jeżeli pominięto branżę, na której się znasz dopisz ją:"
1,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,
2,Chcę uczestniczyć w projekcie data,3.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
3,Chcę uczestniczyć w projekcie data,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,
4,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,Excel,3.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,
5,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,LawTech
6,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,Organizacja eventów,4.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,
7,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,"Testowanie oprogramowania, proste automaty z użyciem selenium.",2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,
8,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,
10,Chcę uczestniczyć w projekcie data,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,Drążenie Dancyh (Data Mining),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"Life Sciences, trochę się znam"
11,Chcę uczestniczyć w projekcie data,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,
12,Chcę uczestniczyć w projekcie data,0.0,2.0,0.0,3.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,
13,Chcę uczestniczyć w projekcie data,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,
14,Chcę uczestniczyć w projekcie data,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,"Excel, SQL, PowerBI",0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
15,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,Umiem bardzo dobrze rozplanować obowiązki swoje i osób z którymi miałem przyjemność współpracować :D,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,
16,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,
17,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,
18,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,Chcę uczestniczyć w projekcie data,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,Chcę uczestniczyć w projekcie data,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,
22,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,
23,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,
24,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
25,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,
26,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,"Umiem pisać strategie. biznesowe, szybko wykrywam potencjalne szanse/zagrożenia, umiem współpracować i łatwo nawiązuję kontakty",2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,Sam pisałem te branże
27,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,
28,Chcę uczestniczyć w projekcie data,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,"Programowanie C++, tworzenie gier / scen w silniku Unreal Engine 5",2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,
29,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
30,Chcę uczestniczyć w projekcie data,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,Wizualizacja danych w R w tym shiny,3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,Dane przestrzenne
31,Chcę uczestniczyć w projekcie data,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
32,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0,
33,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,
34,Chcę uczestniczyć w projekcie data,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,"branża energetyczna, produkcja"
36,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,
37,Chcę uczestniczyć w projekcie data,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,
38,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,"CI/CD, gitlab, dobre praktyki programistyczne: clean code, TDD, BDD, Agile - tak w stopniu 3",2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,
39,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,,0.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,
42,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,
43,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,
45,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,
46,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,
47,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,
48,Chcę uczestniczyć w projekcie data,3.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,
49,Chcę uczestniczyć w projekcie data,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
